round,time,file,nodes,cost,initial_scheme,population_size,selection_size,selection_scheme,probability_mutation,mutation_scheme,termination_scheme,termination_max_generations,path,file.1,instance
4.0,6.315165,distance-matrix-25-4.txt,25.0,52.45166,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,13-10-8-6-4-3-1-7-5-2-0-15-14-12-22-18-24-23-17-16-21-19-20-9-11,,
4.0,1.380869,distance-matrix-25-2.txt,25.0,94.78124,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,18-21-24-23-22-17-19-8-9-13-10-15-5-2-3-4-6-1-0-11-7-12-16-20-14,,
4.0,4.805203,distance-matrix-25-3.txt,25.0,73.30281,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,18-20-14-2-1-10-0-11-3-4-15-17-6-7-8-9-13-12-5-16-24-19-21-23-22,,
4.0,12.945457,distance-matrix-25-1.txt,25.0,54.60981,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,10-12-9-16-19-17-22-23-13-15-20-18-24-21-14-11-7-5-4-3-2-1-0-6-8,,
4.0,1.658685,distance-matrix-25-0.txt,25.0,48.93258,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,18-13-7-4-12-11-10-8-6-0-3-2-1-5-9-15-14-21-23-20-24-22-16-17-19,,
1.0,0.460875,distance-matrix-25-4.txt,25.0,51.89409,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,9-7-20-22-19-18-21-24-23-16-17-0-5-1-3-2-4-8-6-12-15-10-14-13-11,,
1.0,3.427621,distance-matrix-25-2.txt,25.0,91.01094,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,22-21-20-18-16-14-12-7-8-19-13-24-5-1-2-3-4-6-0-15-11-10-9-17-23,,
1.0,3.505966,distance-matrix-25-3.txt,25.0,70.86243,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,12-16-17-6-7-9-13-8-5-24-23-22-20-21-3-4-11-2-1-0-14-18-10-15-19,,
1.0,2.275945,distance-matrix-25-1.txt,25.0,50.4005,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,16-20-24-23-22-21-19-11-17-7-5-3-2-4-1-0-6-8-10-12-9-13-14-15-18,,
1.0,0.884083,distance-matrix-25-0.txt,25.0,49.37403,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,16-17-22-24-19-23-21-20-9-15-7-5-2-4-3-0-8-1-6-10-11-12-13-14-18,,
2.0,4.041313,distance-matrix-25-4.txt,25.0,50.03205,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,11-19-17-16-23-24-21-18-22-20-13-15-10-14-12-9-7-5-8-6-3-4-2-0-1,,
2.0,1.316634,distance-matrix-25-2.txt,25.0,97.47324,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,1-2-6-3-4-5-0-11-9-13-10-21-23-24-22-16-12-7-8-14-20-18-17-19-15,,
2.0,2.858166,distance-matrix-25-3.txt,25.0,71.33228,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,5-12-6-7-8-9-13-17-16-19-15-1-0-10-4-3-24-23-22-21-20-14-18-2-11,,
2.0,0.56614,distance-matrix-25-1.txt,25.0,54.5476,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,4-5-11-13-19-22-21-24-15-20-16-18-23-14-17-9-7-10-8-12-0-6-1-2-3,,
2.0,2.168548,distance-matrix-25-0.txt,25.0,54.25094,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,10-24-22-16-17-18-20-19-23-21-13-14-15-12-9-7-5-4-6-3-8-11-2-1-0,,
3.0,13.432968,distance-matrix-25-4.txt,25.0,56.2211,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,1-5-0-21-16-17-23-24-22-18-19-20-11-14-13-12-10-15-8-2-4-6-3-9-7,,
3.0,7.908716,distance-matrix-25-2.txt,25.0,90.9301,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,14-12-7-8-11-10-9-13-1-0-3-4-6-2-5-15-19-24-23-22-20-18-21-16-17,,
3.0,0.551192,distance-matrix-25-3.txt,25.0,71.69682,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,14-10-11-5-6-7-8-9-13-17-16-12-4-15-19-24-23-22-2-1-3-21-20-18-0,,
3.0,7.495859,distance-matrix-25-1.txt,25.0,53.97811,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,4-5-7-11-17-13-14-15-16-21-22-19-24-23-20-18-9-3-12-10-6-8-2-1-0,,
3.0,2.781589,distance-matrix-25-0.txt,25.0,52.95749,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,8-12-6-0-1-14-13-7-15-9-5-4-3-2-23-21-18-19-20-17-24-22-16-11-10,,
0.0,5.166606,distance-matrix-25-4.txt,25.0,52.30661,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,17-18-19-22-11-8-6-2-1-7-15-14-10-4-3-0-5-9-12-13-20-24-23-21-16,,
0.0,11.991901,distance-matrix-25-2.txt,25.0,96.92303,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,18-9-11-10-8-14-12-7-13-22-23-15-17-1-2-4-6-3-5-0-19-24-21-20-16,,
0.0,2.473725,distance-matrix-25-3.txt,25.0,65.30056,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,6-5-12-11-3-2-4-1-10-0-14-18-20-22-21-23-24-19-15-16-17-7-13-9-8,,
0.0,1.045349,distance-matrix-25-1.txt,25.0,50.69208,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,4-5-11-21-17-19-22-23-20-24-16-15-18-13-14-9-7-12-10-8-0-6-1-3-2,,
0.0,8.122952,distance-matrix-25-0.txt,25.0,53.48241,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,12-13-21-15-7-5-4-3-2-1-0-6-8-10-11-20-23-19-17-18-24-16-22-14-9,,
,3.1232,distance-matrix-25-0.txt,,51.7995,,,,,,,,,,,0
,4.8658,distance-matrix-25-1.txt,,52.8456,,,,,,,,,,,1
,5.2051,distance-matrix-25-2.txt,,94.2237,,,,,,,,,,,2
,2.8389,distance-matrix-25-3.txt,,70.499,,,,,,,,,,,3
,5.8834,distance-matrix-25-4.txt,,52.5811,,,,,,,,,,,4
4.0,6.315165,distance-matrix-25-4.txt,25.0,52.45166,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,13-10-8-6-4-3-1-7-5-2-0-15-14-12-22-18-24-23-17-16-21-19-20-9-11,,
4.0,1.380869,distance-matrix-25-2.txt,25.0,94.78124,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,18-21-24-23-22-17-19-8-9-13-10-15-5-2-3-4-6-1-0-11-7-12-16-20-14,,
4.0,4.805203,distance-matrix-25-3.txt,25.0,73.30281,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,18-20-14-2-1-10-0-11-3-4-15-17-6-7-8-9-13-12-5-16-24-19-21-23-22,,
4.0,12.945457,distance-matrix-25-1.txt,25.0,54.60981,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,10-12-9-16-19-17-22-23-13-15-20-18-24-21-14-11-7-5-4-3-2-1-0-6-8,,
4.0,1.658685,distance-matrix-25-0.txt,25.0,48.93258,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,18-13-7-4-12-11-10-8-6-0-3-2-1-5-9-15-14-21-23-20-24-22-16-17-19,,
1.0,0.460875,distance-matrix-25-4.txt,25.0,51.89409,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,9-7-20-22-19-18-21-24-23-16-17-0-5-1-3-2-4-8-6-12-15-10-14-13-11,,
1.0,3.427621,distance-matrix-25-2.txt,25.0,91.01094,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,22-21-20-18-16-14-12-7-8-19-13-24-5-1-2-3-4-6-0-15-11-10-9-17-23,,
1.0,3.505966,distance-matrix-25-3.txt,25.0,70.86243,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,12-16-17-6-7-9-13-8-5-24-23-22-20-21-3-4-11-2-1-0-14-18-10-15-19,,
1.0,2.275945,distance-matrix-25-1.txt,25.0,50.4005,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,16-20-24-23-22-21-19-11-17-7-5-3-2-4-1-0-6-8-10-12-9-13-14-15-18,,
1.0,0.884083,distance-matrix-25-0.txt,25.0,49.37403,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,16-17-22-24-19-23-21-20-9-15-7-5-2-4-3-0-8-1-6-10-11-12-13-14-18,,
2.0,4.041313,distance-matrix-25-4.txt,25.0,50.03205,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,11-19-17-16-23-24-21-18-22-20-13-15-10-14-12-9-7-5-8-6-3-4-2-0-1,,
2.0,1.316634,distance-matrix-25-2.txt,25.0,97.47324,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,1-2-6-3-4-5-0-11-9-13-10-21-23-24-22-16-12-7-8-14-20-18-17-19-15,,
2.0,2.858166,distance-matrix-25-3.txt,25.0,71.33228,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,5-12-6-7-8-9-13-17-16-19-15-1-0-10-4-3-24-23-22-21-20-14-18-2-11,,
2.0,0.56614,distance-matrix-25-1.txt,25.0,54.5476,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,4-5-11-13-19-22-21-24-15-20-16-18-23-14-17-9-7-10-8-12-0-6-1-2-3,,
2.0,2.168548,distance-matrix-25-0.txt,25.0,54.25094,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,10-24-22-16-17-18-20-19-23-21-13-14-15-12-9-7-5-4-6-3-8-11-2-1-0,,
3.0,13.432968,distance-matrix-25-4.txt,25.0,56.2211,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,1-5-0-21-16-17-23-24-22-18-19-20-11-14-13-12-10-15-8-2-4-6-3-9-7,,
3.0,7.908716,distance-matrix-25-2.txt,25.0,90.9301,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,14-12-7-8-11-10-9-13-1-0-3-4-6-2-5-15-19-24-23-22-20-18-21-16-17,,
3.0,0.551192,distance-matrix-25-3.txt,25.0,71.69682,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,14-10-11-5-6-7-8-9-13-17-16-12-4-15-19-24-23-22-2-1-3-21-20-18-0,,
3.0,7.495859,distance-matrix-25-1.txt,25.0,53.97811,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,4-5-7-11-17-13-14-15-16-21-22-19-24-23-20-18-9-3-12-10-6-8-2-1-0,,
3.0,2.781589,distance-matrix-25-0.txt,25.0,52.95749,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,8-12-6-0-1-14-13-7-15-9-5-4-3-2-23-21-18-19-20-17-24-22-16-11-10,,
0.0,5.166606,distance-matrix-25-4.txt,25.0,52.30661,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,17-18-19-22-11-8-6-2-1-7-15-14-10-4-3-0-5-9-12-13-20-24-23-21-16,,
0.0,11.991901,distance-matrix-25-2.txt,25.0,96.92303,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,18-9-11-10-8-14-12-7-13-22-23-15-17-1-2-4-6-3-5-0-19-24-21-20-16,,
0.0,2.473725,distance-matrix-25-3.txt,25.0,65.30056,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,6-5-12-11-3-2-4-1-10-0-14-18-20-22-21-23-24-19-15-16-17-7-13-9-8,,
0.0,1.045349,distance-matrix-25-1.txt,25.0,50.69208,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,4-5-11-21-17-19-22-23-20-24-16-15-18-13-14-9-7-12-10-8-0-6-1-3-2,,
0.0,8.122952,distance-matrix-25-0.txt,25.0,53.48241,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,12-13-21-15-7-5-4-3-2-1-0-6-8-10-11-20-23-19-17-18-24-16-22-14-9,,
,3.1232,distance-matrix-25-0.txt,,51.7995,,,,,,,,,,,0
,4.8658,distance-matrix-25-1.txt,,52.8456,,,,,,,,,,,1
,5.2051,distance-matrix-25-2.txt,,94.2237,,,,,,,,,,,2
,2.8389,distance-matrix-25-3.txt,,70.499,,,,,,,,,,,3
,5.8834,distance-matrix-25-4.txt,,52.5811,,,,,,,,,,,4
4.0,6.315165,distance-matrix-25-4.txt,25.0,52.45166,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,13-10-8-6-4-3-1-7-5-2-0-15-14-12-22-18-24-23-17-16-21-19-20-9-11,,
4.0,1.380869,distance-matrix-25-2.txt,25.0,94.78124,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,18-21-24-23-22-17-19-8-9-13-10-15-5-2-3-4-6-1-0-11-7-12-16-20-14,,
4.0,4.805203,distance-matrix-25-3.txt,25.0,73.30281,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,18-20-14-2-1-10-0-11-3-4-15-17-6-7-8-9-13-12-5-16-24-19-21-23-22,,
4.0,12.945457,distance-matrix-25-1.txt,25.0,54.60981,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,10-12-9-16-19-17-22-23-13-15-20-18-24-21-14-11-7-5-4-3-2-1-0-6-8,,
4.0,1.658685,distance-matrix-25-0.txt,25.0,48.93258,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,18-13-7-4-12-11-10-8-6-0-3-2-1-5-9-15-14-21-23-20-24-22-16-17-19,,
1.0,0.460875,distance-matrix-25-4.txt,25.0,51.89409,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,9-7-20-22-19-18-21-24-23-16-17-0-5-1-3-2-4-8-6-12-15-10-14-13-11,,
1.0,3.427621,distance-matrix-25-2.txt,25.0,91.01094,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,22-21-20-18-16-14-12-7-8-19-13-24-5-1-2-3-4-6-0-15-11-10-9-17-23,,
1.0,3.505966,distance-matrix-25-3.txt,25.0,70.86243,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,12-16-17-6-7-9-13-8-5-24-23-22-20-21-3-4-11-2-1-0-14-18-10-15-19,,
1.0,2.275945,distance-matrix-25-1.txt,25.0,50.4005,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,16-20-24-23-22-21-19-11-17-7-5-3-2-4-1-0-6-8-10-12-9-13-14-15-18,,
1.0,0.884083,distance-matrix-25-0.txt,25.0,49.37403,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,16-17-22-24-19-23-21-20-9-15-7-5-2-4-3-0-8-1-6-10-11-12-13-14-18,,
2.0,4.041313,distance-matrix-25-4.txt,25.0,50.03205,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,11-19-17-16-23-24-21-18-22-20-13-15-10-14-12-9-7-5-8-6-3-4-2-0-1,,
2.0,1.316634,distance-matrix-25-2.txt,25.0,97.47324,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,1-2-6-3-4-5-0-11-9-13-10-21-23-24-22-16-12-7-8-14-20-18-17-19-15,,
2.0,2.858166,distance-matrix-25-3.txt,25.0,71.33228,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,5-12-6-7-8-9-13-17-16-19-15-1-0-10-4-3-24-23-22-21-20-14-18-2-11,,
2.0,0.56614,distance-matrix-25-1.txt,25.0,54.5476,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,4-5-11-13-19-22-21-24-15-20-16-18-23-14-17-9-7-10-8-12-0-6-1-2-3,,
2.0,2.168548,distance-matrix-25-0.txt,25.0,54.25094,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,10-24-22-16-17-18-20-19-23-21-13-14-15-12-9-7-5-4-6-3-8-11-2-1-0,,
3.0,13.432968,distance-matrix-25-4.txt,25.0,56.2211,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,1-5-0-21-16-17-23-24-22-18-19-20-11-14-13-12-10-15-8-2-4-6-3-9-7,,
3.0,7.908716,distance-matrix-25-2.txt,25.0,90.9301,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,14-12-7-8-11-10-9-13-1-0-3-4-6-2-5-15-19-24-23-22-20-18-21-16-17,,
3.0,0.551192,distance-matrix-25-3.txt,25.0,71.69682,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,14-10-11-5-6-7-8-9-13-17-16-12-4-15-19-24-23-22-2-1-3-21-20-18-0,,
3.0,7.495859,distance-matrix-25-1.txt,25.0,53.97811,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,4-5-7-11-17-13-14-15-16-21-22-19-24-23-20-18-9-3-12-10-6-8-2-1-0,,
3.0,2.781589,distance-matrix-25-0.txt,25.0,52.95749,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,8-12-6-0-1-14-13-7-15-9-5-4-3-2-23-21-18-19-20-17-24-22-16-11-10,,
0.0,5.166606,distance-matrix-25-4.txt,25.0,52.30661,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,17-18-19-22-11-8-6-2-1-7-15-14-10-4-3-0-5-9-12-13-20-24-23-21-16,,
0.0,11.991901,distance-matrix-25-2.txt,25.0,96.92303,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,18-9-11-10-8-14-12-7-13-22-23-15-17-1-2-4-6-3-5-0-19-24-21-20-16,,
0.0,2.473725,distance-matrix-25-3.txt,25.0,65.30056,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,6-5-12-11-3-2-4-1-10-0-14-18-20-22-21-23-24-19-15-16-17-7-13-9-8,,
0.0,1.045349,distance-matrix-25-1.txt,25.0,50.69208,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,4-5-11-21-17-19-22-23-20-24-16-15-18-13-14-9-7-12-10-8-0-6-1-3-2,,
0.0,8.122952,distance-matrix-25-0.txt,25.0,53.48241,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,12-13-21-15-7-5-4-3-2-1-0-6-8-10-11-20-23-19-17-18-24-16-22-14-9,,
,3.1232,distance-matrix-25-0.txt,,51.7995,,,,,,,,,,,0
,4.8658,distance-matrix-25-1.txt,,52.8456,,,,,,,,,,,1
,5.2051,distance-matrix-25-2.txt,,94.2237,,,,,,,,,,,2
,2.8389,distance-matrix-25-3.txt,,70.499,,,,,,,,,,,3
,5.8834,distance-matrix-25-4.txt,,52.5811,,,,,,,,,,,4
4.0,6.315165,distance-matrix-25-4.txt,25.0,52.45166,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,13-10-8-6-4-3-1-7-5-2-0-15-14-12-22-18-24-23-17-16-21-19-20-9-11,,
4.0,1.380869,distance-matrix-25-2.txt,25.0,94.78124,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,18-21-24-23-22-17-19-8-9-13-10-15-5-2-3-4-6-1-0-11-7-12-16-20-14,,
4.0,4.805203,distance-matrix-25-3.txt,25.0,73.30281,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,18-20-14-2-1-10-0-11-3-4-15-17-6-7-8-9-13-12-5-16-24-19-21-23-22,,
4.0,12.945457,distance-matrix-25-1.txt,25.0,54.60981,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,10-12-9-16-19-17-22-23-13-15-20-18-24-21-14-11-7-5-4-3-2-1-0-6-8,,
4.0,1.658685,distance-matrix-25-0.txt,25.0,48.93258,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,18-13-7-4-12-11-10-8-6-0-3-2-1-5-9-15-14-21-23-20-24-22-16-17-19,,
1.0,0.460875,distance-matrix-25-4.txt,25.0,51.89409,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,9-7-20-22-19-18-21-24-23-16-17-0-5-1-3-2-4-8-6-12-15-10-14-13-11,,
1.0,3.427621,distance-matrix-25-2.txt,25.0,91.01094,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,22-21-20-18-16-14-12-7-8-19-13-24-5-1-2-3-4-6-0-15-11-10-9-17-23,,
1.0,3.505966,distance-matrix-25-3.txt,25.0,70.86243,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,12-16-17-6-7-9-13-8-5-24-23-22-20-21-3-4-11-2-1-0-14-18-10-15-19,,
1.0,2.275945,distance-matrix-25-1.txt,25.0,50.4005,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,16-20-24-23-22-21-19-11-17-7-5-3-2-4-1-0-6-8-10-12-9-13-14-15-18,,
1.0,0.884083,distance-matrix-25-0.txt,25.0,49.37403,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,16-17-22-24-19-23-21-20-9-15-7-5-2-4-3-0-8-1-6-10-11-12-13-14-18,,
2.0,4.041313,distance-matrix-25-4.txt,25.0,50.03205,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,11-19-17-16-23-24-21-18-22-20-13-15-10-14-12-9-7-5-8-6-3-4-2-0-1,,
2.0,1.316634,distance-matrix-25-2.txt,25.0,97.47324,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,1-2-6-3-4-5-0-11-9-13-10-21-23-24-22-16-12-7-8-14-20-18-17-19-15,,
2.0,2.858166,distance-matrix-25-3.txt,25.0,71.33228,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,5-12-6-7-8-9-13-17-16-19-15-1-0-10-4-3-24-23-22-21-20-14-18-2-11,,
2.0,0.56614,distance-matrix-25-1.txt,25.0,54.5476,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,4-5-11-13-19-22-21-24-15-20-16-18-23-14-17-9-7-10-8-12-0-6-1-2-3,,
2.0,2.168548,distance-matrix-25-0.txt,25.0,54.25094,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,10-24-22-16-17-18-20-19-23-21-13-14-15-12-9-7-5-4-6-3-8-11-2-1-0,,
3.0,13.432968,distance-matrix-25-4.txt,25.0,56.2211,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,1-5-0-21-16-17-23-24-22-18-19-20-11-14-13-12-10-15-8-2-4-6-3-9-7,,
3.0,7.908716,distance-matrix-25-2.txt,25.0,90.9301,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,14-12-7-8-11-10-9-13-1-0-3-4-6-2-5-15-19-24-23-22-20-18-21-16-17,,
3.0,0.551192,distance-matrix-25-3.txt,25.0,71.69682,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,14-10-11-5-6-7-8-9-13-17-16-12-4-15-19-24-23-22-2-1-3-21-20-18-0,,
3.0,7.495859,distance-matrix-25-1.txt,25.0,53.97811,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,4-5-7-11-17-13-14-15-16-21-22-19-24-23-20-18-9-3-12-10-6-8-2-1-0,,
3.0,2.781589,distance-matrix-25-0.txt,25.0,52.95749,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,8-12-6-0-1-14-13-7-15-9-5-4-3-2-23-21-18-19-20-17-24-22-16-11-10,,
0.0,5.166606,distance-matrix-25-4.txt,25.0,52.30661,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,17-18-19-22-11-8-6-2-1-7-15-14-10-4-3-0-5-9-12-13-20-24-23-21-16,,
0.0,11.991901,distance-matrix-25-2.txt,25.0,96.92303,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,18-9-11-10-8-14-12-7-13-22-23-15-17-1-2-4-6-3-5-0-19-24-21-20-16,,
0.0,2.473725,distance-matrix-25-3.txt,25.0,65.30056,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,6-5-12-11-3-2-4-1-10-0-14-18-20-22-21-23-24-19-15-16-17-7-13-9-8,,
0.0,1.045349,distance-matrix-25-1.txt,25.0,50.69208,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,4-5-11-21-17-19-22-23-20-24-16-15-18-13-14-9-7-12-10-8-0-6-1-3-2,,
0.0,8.122952,distance-matrix-25-0.txt,25.0,53.48241,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,12-13-21-15-7-5-4-3-2-1-0-6-8-10-11-20-23-19-17-18-24-16-22-14-9,,
,,distance-matrix-25-0.txt,,51.7995,,,,,,,,,,,0
,,distance-matrix-25-1.txt,,52.8456,,,,,,,,,,,1
,,distance-matrix-25-2.txt,,94.2237,,,,,,,,,,,2
,,distance-matrix-25-3.txt,,70.499,,,,,,,,,,,3
,,distance-matrix-25-4.txt,,52.5811,,,,,,,,,,,4
4.0,6.315165,distance-matrix-25-4.txt,25.0,52.45166,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,13-10-8-6-4-3-1-7-5-2-0-15-14-12-22-18-24-23-17-16-21-19-20-9-11,,
4.0,1.380869,distance-matrix-25-2.txt,25.0,94.78124,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,18-21-24-23-22-17-19-8-9-13-10-15-5-2-3-4-6-1-0-11-7-12-16-20-14,,
4.0,4.805203,distance-matrix-25-3.txt,25.0,73.30281,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,18-20-14-2-1-10-0-11-3-4-15-17-6-7-8-9-13-12-5-16-24-19-21-23-22,,
4.0,12.945457,distance-matrix-25-1.txt,25.0,54.60981,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,10-12-9-16-19-17-22-23-13-15-20-18-24-21-14-11-7-5-4-3-2-1-0-6-8,,
4.0,1.658685,distance-matrix-25-0.txt,25.0,48.93258,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,18-13-7-4-12-11-10-8-6-0-3-2-1-5-9-15-14-21-23-20-24-22-16-17-19,,
1.0,0.460875,distance-matrix-25-4.txt,25.0,51.89409,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,9-7-20-22-19-18-21-24-23-16-17-0-5-1-3-2-4-8-6-12-15-10-14-13-11,,
1.0,3.427621,distance-matrix-25-2.txt,25.0,91.01094,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,22-21-20-18-16-14-12-7-8-19-13-24-5-1-2-3-4-6-0-15-11-10-9-17-23,,
1.0,3.505966,distance-matrix-25-3.txt,25.0,70.86243,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,12-16-17-6-7-9-13-8-5-24-23-22-20-21-3-4-11-2-1-0-14-18-10-15-19,,
1.0,2.275945,distance-matrix-25-1.txt,25.0,50.4005,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,16-20-24-23-22-21-19-11-17-7-5-3-2-4-1-0-6-8-10-12-9-13-14-15-18,,
1.0,0.884083,distance-matrix-25-0.txt,25.0,49.37403,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,16-17-22-24-19-23-21-20-9-15-7-5-2-4-3-0-8-1-6-10-11-12-13-14-18,,
2.0,4.041313,distance-matrix-25-4.txt,25.0,50.03205,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,11-19-17-16-23-24-21-18-22-20-13-15-10-14-12-9-7-5-8-6-3-4-2-0-1,,
2.0,1.316634,distance-matrix-25-2.txt,25.0,97.47324,0.0,100.0,10.0,1.0,10000.0,0.0,1.0,100.0,1-2-6-3-4-5-0-11-9-13-10-21-23-24-22-16-12-7-8-14-20-18-17-19-15,,
